Id,Stazione Meteo,Indirizzo Link,Lat,Long,Altitudine,Riferimento,CodiceStazione,ZonaGeo
42,Campo Felice Loc. Camardosa,https://www.meteoaquilano.it/index.php?option=com_content&view=article&id=332&Itemid=519,42.230,13.396,1530,Campo Felice,LUC-003,170
43,Capitignano,https://www.meteoaquilano.it/index.php?option=com_content&view=article&id=297&Itemid=364,42.520,13.300,863,Capitignano,CAP-001,115
44,Piano delle 5 Miglia,https://www.caputfrigoris.it/station.php?id=AQ020,41.866,14.031,1250,Roccaraso,AQ020,268
45,Camporotondo,https://www.meteoregioneabruzzo.it/rete-meteo/camporotondo/camporotondo.php,41.981,13.276,1420,Camporotondo,AQ-75,226
46,Roio del Sangro,https://www.meteoregioneabruzzo.it/rete-meteo/roio-del-sangro/roio-del-sangro.php,41.912,14.373,840,Roio del Sangro,CH-04,316
47,Castel del Monte,https://www.caputfrigoris.it/tabgraph.php?id=AQ031,42.366,13.730,1325,Castel del Monte,AQ031,156
48,Forme,https://www.caputfrigoris.it/tabgraph.php?id=AQ150,42.112,13.451,1000,Forme,AQ150,192
49,Monte Genzana,https://www.caputfrigoris.it/tabgraph.php?id=AQ030,41.948,13.887,1980,Monte Genzana,AQ030,233
50,Ofena,https://www.caputfrigoris.it/tabgraph.php?id=AQ060,42.302,13.729,559,Ofena,AQ060,197
51,Piani di Pezza,https://www.caputfrigoris.it/station.php?id=AQ021,42.180,13.468,1450,Piani Pezza,AQ021,189
52,Rifugio Montecristo,https://www.caputfrigoris.it/tabgraph.php?id=AQ015,42.414,13.558,1475,Rifugio Montecristo,AQ015,152
53,Rocca Calascio,https://www.caputfrigoris.it/tabgraph.php?id=AQ028,42.328,13.690,1450,Rocca Calascio,AQ028,198
54,Farindola,https://www.caputfrigoris.it/tabgraph.php?id=PE111,42.431,13.808,672,Farindola,PE111,162
55,Monte Piselli,https://www.caputfrigoris.it/tabgraph.php?id=TE109,42.788,13.580,1426,Monte Piselli,TE109,109
56,Valle Castellana,https://www.caputfrigoris.it/tabgraph.php?id=TE080,42.735,13.497,630,Valle Castellana,TE080,107
57,Civitaluparella,https://www.caputfrigoris.it/tabgraph.php?id=CH119,41.944,14.304,807,Civitaluparella,CH119,318
